,original review,original sentiment,adversarial example,current sentiment
0," i'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking
",negative," i'm convinced i could prevent a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking
",positive
1," it 's hard to imagine that even very small children will be impressed by this tired retread
",negative," it 's hard to imagine that even very small children will be impressed by this timeworn retread
",positive
2," somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates
",negative," somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the pitch of roughage master 
",positive
3," a muckraking job , the cinematic equivalent of a legal indictment , and a fairly effective one at that
",positive," a muckraking job , the cinematic equivalent of a legal indictment , and a fairly effectual one at that
",negative
4," it 's hard to understand why anyone in his right mind would even think to make the attraction a movie and it 's harder still to believe that anyone in his right mind would want to see the it
",negative," it 's intense to understand why anyone in his right mind would even think to make the attraction a movie and it 's harder still to believe that anyone in his right mind would want to see the it
",positive
5," there 's no real reason to see it , and no real reason not to
",negative," there 's no real recount to assure it , and no real precondition not to
",positive
6," an annoying orgy of excess and exploitation that has no point and goes nowhere
",negative," an alluring orgy of excess and exploitation that has no point and right nowhere
",positive
7," never having seen the first two films in the series , i ca n't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams left in the broiling sun for a good three days
",negative," never having seen the first two films in the series , i ca n't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams took in the broiling sun for a agreeable three days
",positive
8," those outside show business will enjoy a close look at people they do n't really want to know
",positive," those outside show business will enjoy a close fall at people they do n't really want to know
",negative
9," at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin
",negative," at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears fine 
",positive
10," frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for
",negative," frida is certainly no hardship , but neither is it the kahlo movie frida fans have been looking for
",positive
