,review,sentiment
0,"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",0
1,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",0
2,"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",0
3,this is one of polanski 's best films .,1
4,take care of my cat offers a refreshingly different slice of asian cinema .,1
5,"acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",0
6,the movie exists for its soccer action and its fine acting .,1
7,arnold 's jump from little screen to big will leave frowns on more than a few faces .,0
8,"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- .",0
9,"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .",1
10,"even as lame horror flicks go , this is lame .",0
11,"oft-described as the antidote to american pie-type sex comedies , it actually has a bundle in common with them , as the film diffuses every opportunity for a breakthrough",0
12,"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes .",1
13,"when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that 's a bad sign .",0
14,"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",1
15,"if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",1
16,any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes .,0
17,"as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell .",0
18,those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida .,0
19,most new movies have a bright sheen .,1
20,but what saves lives on the freeway does not necessarily make for persuasive viewing .,0
21,steve irwin 's method is ernest hemmingway at accelerated speed and volume .,1
22,nicely serves as an examination of a society in transition .,1
23,"the film would work much better as a video installation in a museum , where viewers would be free to leave .",0
24,culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character .,0
25,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,0
26,"not a cozy or ingratiating work , but it 's challenging , sometimes clever , and always interesting , and those are reasons enough to see it .",1
27,"the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the film must have been written ... in the thrall of a vicious hangover .",0
28,"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn .",1
29,"finally , a genre movie that delivers -- in a couple of genres , no less .",1
30,"the low-budget full frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and solaris is its big-budget brother .",0
31,"exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce .",1
32,"an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to .",1
33,"as a singular character study , it 's perfect .",1
34,haneke challenges us to confront the reality of sexual aberration .,1
35,an experience so engrossing it is like being buried in a new environment .,1
36,"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .",1
